Filename, Fliter, Image Type
0148.NGC 6946.fit,V,Light Frame
0149.NGC 6946.fit,V,Light Frame
0150.NGC 6946.fit,V,Light Frame
0151.NGC 6946.fit,V,Light Frame
0152.NGC 6946.fit,V,Light Frame
0153.NGC 6946.fit,B,Light Frame
0154.NGC 6946.fit,B,Light Frame
0155.NGC 6946.fit,B,Light Frame
0156.NGC 6946.fit,B,Light Frame
0157.NGC 6946.fit,B,Light Frame
0158.NGC 6946.fit,B,Light Frame
0159.NGC 6946.fit,B,Light Frame
0160.NGC 6946.fit,B,Light Frame
0161.NGC 6946.fit,B,Light Frame
0162.NGC 6946.fit,B,Light Frame
0163.NGC 6946.fit,B,Light Frame
0165.NGC 6946.fit,R,Light Frame
0166.NGC 6946.fit,R,Light Frame
0167.NGC 6946.fit,R,Light Frame
0168.NGC 6946.fit,R,Light Frame
0169.A.FlatField.fit,R,Flat Field
0170.A.FlatField.fit,R,Flat Field
0171.A.FlatField.fit,R,Flat Field
0172.A.FlatField.fit,R,Flat Field
0173.A.FlatField.fit,R,Flat Field
0174.A.FlatField.fit,R,Flat Field
0175.A.FlatField.fit,R,Flat Field
0176.A.FlatField.fit,R,Flat Field
0177.A.FlatField.fit,R,Flat Field
0178.A.FlatField.fit,R,Flat Field
0179.A.FlatField.fit,V,Flat Field
0180.A.FlatField.fit,V,Flat Field
0181.A.FlatField.fit,V,Flat Field
0182.A.FlatField.fit,V,Flat Field
0183.A.FlatField.fit,V,Flat Field
0184.A.FlatField.fit,V,Flat Field
0185.A.FlatField.fit,V,Flat Field
0186.A.FlatField.fit,V,Flat Field
0187.A.FlatField.fit,V,Flat Field
0188.A.FlatField.fit,V,Flat Field
0189.A.FlatField.fit,B,Flat Field
0190.A.FlatField.fit,B,Flat Field
0191.A.FlatField.fit,B,Flat Field
0192.A.FlatField.fit,B,Flat Field
0193.A.FlatField.fit,B,Flat Field
0194.A.FlatField.fit,B,Flat Field
0195.A.FlatField.fit,B,Flat Field
0196.A.FlatField.fit,B,Flat Field
0197.A.FlatField.fit,B,Flat Field
0198.A.FlatField.fit,B,Flat Field
0199.A.Dark.fit,B,Dark Frame
0200.A.Dark.fit,B,Dark Frame
0201.A.Dark.fit,B,Dark Frame
0202.A.Dark.fit,B,Dark Frame
0203.A.Dark.fit,B,Dark Frame
0204.A.Dark.fit,B,Dark Frame
0205.A.Dark.fit,B,Dark Frame
0206.A.Dark.fit,B,Dark Frame
0207.A.Dark.fit,B,Dark Frame
0208.A.Dark.fit,B,Dark Frame
0209.A.Bias.fit,B,Bias Frame
0210.A.Bias.fit,B,Bias Frame
0211.A.Bias.fit,B,Bias Frame
0212.A.Bias.fit,B,Bias Frame
0213.A.Bias.fit,B,Bias Frame
0214.A.Bias.fit,B,Bias Frame
0215.A.Bias.fit,B,Bias Frame
0216.A.Bias.fit,B,Bias Frame
0217.A.Bias.fit,B,Bias Frame
0218.A.Bias.fit,B,Bias Frame
0219.A.Bias.fit,B,Bias Frame
0220.A.Bias.fit,B,Bias Frame
0221.A.Bias.fit,B,Bias Frame
0222.A.Bias.fit,B,Bias Frame
0223.A.Bias.fit,B,Bias Frame
0224.A.Bias.fit,B,Bias Frame
0225.A.Bias.fit,B,Bias Frame
0226.A.Bias.fit,B,Bias Frame
0227.A.Bias.fit,B,Bias Frame
0228.A.Bias.fit,B,Bias Frame